RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15000000,Cliente0001,583,France,Male,35,6,56119.38,2,1,1,122882.5,0
2,15000001,Cliente0002,670,France,Female,75,1,144019.01,1,1,1,186114.88,1
3,15000002,Cliente0003,489,Germany,Male,66,0,0.0,3,1,0,151976.43,0
4,15000003,Cliente0004,769,Germany,Female,27,0,110695.81,4,1,0,160008.87,1
5,15000004,Cliente0005,704,Spain,Male,34,2,57292.35,1,0,0,150227.78,0
6,15000005,Cliente0006,625,Germany,Male,55,6,97296.1,2,0,0,170373.05,0
7,15000006,Cliente0007,623,Spain,Female,69,2,0.0,2,1,1,171924.08,0
8,15000007,Cliente0008,676,France,Female,73,9,97535.72,1,1,1,189128.15,0
9,15000008,Cliente0009,627,France,Female,52,9,76739.89,2,1,1,193545.05,0
10,15000009,Cliente0010,631,France,Female,55,9,132429.9,2,1,1,195573.69,0
11,15000010,Cliente0011,711,Germany,Female,38,0,53543.03,1,0,0,130514.79,0
12,15000011,Cliente0012,694,France,Female,38,2,0.0,1,0,1,127352.99,0
13,15000012,Cliente0013,645,Spain,Male,35,0,1835.38,2,1,0,127789.88,0
14,15000013,Cliente0014,643,France,Male,22,5,84684.64,1,0,0,129001.09,0
15,15000014,Cliente0015,664,France,Female,57,5,42545.63,2,0,0,176440.51,0
16,15000015,Cliente0016,598,Spain,Female,51,9,87679.01,2,1,1,168315.52,0
17,15000016,Cliente0017,616,Germany,Male,42,10,36433.94,2,1,0,135052.9,0
18,15000017,Cliente0018,697,Spain,Male,50,1,0.0,3,1,1,141870.61,0
19,15000018,Cliente0019,639,France,Female,55,9,57019.49,1,0,0,171806.52,0
20,15000019,Cliente0020,533,France,Female,42,5,64543.2,1,0,0,129096.27,1
21,15000020,Cliente0021,609,France,Female,49,4,16593.76,1,1,0,136003.14,1
22,15000021,Cliente0022,706,Germany,Male,39,4,91381.62,1,0,0,172409.56,0
23,15000022,Cliente0023,630,Spain,Male,77,10,87922.84,1,1,1,208018.94,0
24,15000023,Cliente0024,637,France,Male,23,10,62566.43,1,1,0,125082.75,0
25,15000024,Cliente0025,705,France,Male,34,5,0.0,2,1,0,138357.1,1
26,15000025,Cliente0026,805,France,Male,40,7,46603.98,2,1,0,179449.12,0
27,15000026,Cliente0027,589,Germany,Male,71,5,102077.64,1,1,1,179521.11,1
28,15000027,Cliente0028,765,France,Male,53,8,0.0,1,1,1,163770.9,0
29,15000028,Cliente0029,545,Spain,Male,22,5,112376.3,2,0,0,126503.68,1
30,15000029,Cliente0030,665,Germany,Female,78,9,131682.55,1,1,1,218916.48,1
31,15000030,Cliente0031,551,Spain,Female,39,1,74111.12,1,0,0,114969.13,0
32,15000031,Cliente0032,765,Germany,Female,70,3,111221.54,1,0,1,199499.66,0
33,15000032,Cliente0033,721,Germany,Male,34,9,91420.4,1,1,1,164157.09,1
34,15000033,Cliente0034,747,Germany,Female,39,0,89561.79,1,1,0,125944.05,0
35,15000034,Cliente0035,575,Germany,Male,73,8,30726.36,2,0,0,173294.13,1
36,15000035,Cliente0036,708,Spain,Female,71,9,0.0,2,1,0,192519.96,0
37,15000036,Cliente0037,606,Spain,Male,19,10,0.0,2,1,0,116939.12,1
38,15000037,Cliente0038,611,France,Male,45,6,63532.08,1,0,0,152408.88,0
39,15000038,Cliente0039,693,France,Female,44,8,65012.41,3,1,0,169155.43,0
40,15000039,Cliente0040,725,Spain,Male,37,7,57998.61,2,0,1,175256.01,0
